CREATION DATE,STATUS,COMPLETION DATE,LATITUDE,LONGITUDE
01/01/2011,Completed,01/03/2011,41.93635566035826,-87.70875735748406
01/01/2011,Completed,01/03/2011,41.892427342273194,-87.6311463966443
01/01/2011,Completed,01/03/2011,41.711877328148155,-87.61631763072438
01/01/2011,Completed,01/03/2011,41.70180714214017,-87.52574964355905
01/01/2011,Completed,01/03/2011,41.745057522351686,-87.60627511877377
01/01/2011,Completed,01/03/2011,41.76565998888494,-87.61284272023427
01/01/2011,Completed,01/03/2011,41.79923194833374,-87.65986297069696
01/01/2011,Completed,01/03/2011,41.76776155212092,-87.68699986859862
01/01/2011,Completed,01/03/2011,41.956496639123856,-87.70809364531061
01/01/2011,Completed,01/03/2011,41.77214745780087,-87.66767067184314
01/01/2011,Completed,01/04/2011,42.0112995742821,-87.69368067143212
01/01/2011,Completed,01/04/2011,41.992345865940514,-87.69580962257395
01/01/2011,Completed,01/04/2011,41.968592498720874,-87.69139120956304
01/01/2011,Completed,01/05/2011,41.89609686901227,-87.66575901261236
01/01/2011,Completed,01/19/2011,41.681603429405314,-87.62877463934828
01/01/2011,Completed,01/19/2011,41.68578872272944,-87.65718758182165
01/02/2011,Completed,01/03/2011,41.95584215921338,-87.7141993372126
01/02/2011,Completed,01/03/2011,41.744726783595496,-87.60505421949827
01/02/2011,Completed,01/03/2011,41.93968406492304,-87.66959538320832
01/02/2011,Completed,01/03/2011,41.75806415678032,-87.63529627524956
01/02/2011,Completed,01/03/2011,41.92498587617708,-87.70722642181771
01/02/2011,Completed,01/03/2011,41.780053919886626,-87.68611326821086
01/02/2011,Completed,01/03/2011,41.76809024542269,-87.66269175461306
01/02/2011,Completed,01/03/2011,41.98136274027474,-87.69180723617153
01/02/2011,Completed,01/04/2011,41.838059685153,-87.64506609695474
01/02/2011,Completed,01/04/2011,41.832594354512636,-87.64493080350856
01/02/2011,Completed,01/04/2011,41.95053633077031,-87.6766104014608
01/02/2011,Completed,01/04/2011,41.688999945799196,-87.61952756371645
01/02/2011,Completed,01/04/2011,41.913426176457605,-87.68852062519043
01/02/2011,Completed,01/04/2011,41.81405470769938,-87.59813691732612
01/02/2011,Completed,01/04/2011,41.831952098385926,-87.64856557212572
01/02/2011,Completed,01/04/2011,41.90317866256167,-87.71889069227119
01/02/2011,Completed,01/05/2011,41.85800070811831,-87.65310984971033
01/02/2011,Completed,01/10/2011,41.85629746910621,-87.71882163764909
01/02/2011,Completed,01/13/2011,41.994664175301764,-87.68856743334477
01/02/2011,Completed,01/13/2011,41.89499834609751,-87.74654993367325
01/03/2000,Completed,03/28/2011,41.80576343586902,-87.66975672568209
01/03/2000,Completed,03/28/2011,41.806007743197824,-87.67462318811036
01/03/2000,Completed,03/28/2011,41.803848770875994,-87.66362637554029
01/03/2000,Completed,03/28/2011,41.80609796631114,-87.66733557433382
01/03/2000,Completed,03/28/2011,41.806443441426985,-87.66977474129098
01/03/2011,Completed,01/03/2011,41.92417878558177,-87.77451216897337
01/03/2011,Completed,01/03/2011,41.92733896999876,-87.64152891470731
01/03/2011,Completed,01/03/2011,41.94256459896286,-87.65156995012214
01/03/2011,Completed,01/03/2011,41.875606223288806,-87.74509022376499
01/03/2011,Completed,01/03/2011,41.779210669131096,-87.68691395979606
01/03/2011,Completed,01/03/2011,41.76840256085152,-87.63601384077509
01/03/2011,Completed,01/03/2011,41.93833170046444,-87.70881348368391
01/03/2011,Completed,01/03/2011,41.86994642709449,-87.73019813600264
01/03/2011,Completed,01/03/2011,41.87259433064226,-87.72096655121872
01/03/2011,Completed,01/03/2011,41.8713174137449,-87.73514992459413
01/03/2011,Completed,01/03/2011,41.86193994451852,-87.72261154484922
01/03/2011,Completed,01/03/2011,41.860587638639025,-87.72867309221296
01/03/2011,Completed,01/03/2011,41.86729706203122,-87.7111616501689
01/03/2011,Completed,01/03/2011,41.87504582953975,-87.74292864019543
01/03/2011,Completed,01/03/2011,41.86729706203122,-87.7111616501689
01/03/2011,Completed,01/03/2011,41.858164517546534,-87.71152760035994
01/03/2011,Completed,01/03/2011,41.94412549951034,-87.66393671418211
01/03/2011,Completed,01/04/2011,41.82501418423073,-87.66607538538545
01/03/2011,Completed,01/04/2011,41.93371207140385,-87.66360418159557
01/03/2011,Completed,01/04/2011,41.88603810461095,-87.76506770507399
01/03/2011,Completed,01/04/2011,41.91760427645662,-87.68545874807208
01/03/2011,Completed,01/04/2011,41.92957995363109,-87.70736825318173
01/03/2011,Completed,01/04/2011,41.89926308449848,-87.6993016521987
01/03/2011,Completed,01/04/2011,41.75150011273311,-87.66185253537142
01/03/2011,Completed,01/04/2011,41.90374928394195,-87.70770675664345
01/03/2011,Completed,01/04/2011,41.903752884301284,-87.7074106415159
01/03/2011,Completed,01/04/2011,41.90465761619393,-87.70756401142205
01/03/2011,Completed,01/04/2011,41.904659833981654,-87.70736672276917
01/03/2011,Completed,01/04/2011,41.90466094174701,-87.70726789477389
01/03/2011,Completed,01/04/2011,41.905562853328334,-87.70759338858514
01/03/2011,Completed,01/04/2011,41.9047753017357,-87.70685167116925
01/03/2011,Completed,01/04/2011,41.90398268053743,-87.70682578597702
01/03/2011,Completed,01/04/2011,41.91813401767964,-87.67519533082573
01/03/2011,Completed,01/04/2011,41.76565998888494,-87.61284272023427
01/03/2011,Completed,01/04/2011,41.75981149820958,-87.63998863711534
01/03/2011,Completed,01/04/2011,41.715450624450334,-87.5535437738078
01/03/2011,Completed,01/04/2011,41.72235924714164,-87.53770835551211
01/03/2011,Completed,01/04/2011,41.76583237054765,-87.71998766840868
01/03/2011,Completed,01/04/2011,41.77152008568317,-87.71298413336035
01/03/2011,Completed,01/04/2011,41.77697718278112,-87.71313695162856
01/03/2011,Completed,01/04/2011,41.96106360126169,-87.71850158821239
01/03/2011,Completed,01/04/2011,41.731022302842916,-87.59620375274228
01/03/2011,Completed,01/05/2011,41.89029416569493,-87.7234966681311
01/03/2011,Completed,01/05/2011,41.90554425270345,-87.6384170503614
01/03/2011,Completed,01/05/2011,41.807626408582585,-87.6770963437362
01/03/2011,Completed,01/05/2011,41.91476105957373,-87.63753799877387
01/03/2011,Completed,01/06/2011,41.969352458644444,-87.71217147917996
01/03/2011,Completed,01/06/2011,41.790700525035774,-87.62236374211376
01/03/2011,Completed,01/07/2011,41.973313096616586,-87.65492839305467
01/03/2011,Completed,01/10/2011,41.87422214767689,-87.73593701351764
01/03/2011,Completed,01/11/2011,41.72099220074082,-87.63834640687216
01/03/2011,Completed,01/12/2011,41.80936627088414,-87.61767939314585
01/03/2011,Completed,01/12/2011,41.81071514898678,-87.62287421364786
01/03/2011,Completed,01/13/2011,41.91148602195078,-87.74590799554824
